subdistrict_name,subdistrict_english_name,subdistrict_area,subdistrict_population_2566,subdistrict_density_2566,district_name,district_english_name
สีลม,Si Lom,2.074,"16,311",,บางรัก,Bang Rak
พระโขนงใต้,Phra Khanong Tai,,,,พระโขนง,Phra Khanong
จอมทอง,Chom Thong,5.183,,,จอมทอง,Chom Thong
ถนนพญาไท,Thanon Phaya Thai,1.136,,,ราชเทวี,Ratchathewi
บางโคล่,Bang Khlo,,,,บางคอแหลม,Bang Kho Laem
บางมด,Bang Mot,11.918,,,จอมทอง,Chom Thong
ทรายกองดินใต้,Sai Kong Din Tai,15.823,"17,668",,คลองสามวา,Khlong Sam Wa
บางขุนนนท์,Bang Khun Non,1.492,"10,340",,บางกอกน้อย,Bangkok Noi
บางอ้อ,Bang O,2.846,,,บางพลัด,Bang Phlat
ดุสิต,Dusit,2.233,"9,792",,ดุสิต,Dusit
วังทองหลาง,Wang Thonglang,5.558,,,วังทองหลาง,Wang Thonglang
วชิรพยาบาล,Wachiraphayaban,1.074,"8,844",,ดุสิต,Dusit
ยานนาวา,Yan Nawa,,,,สาทร,Sathon
บางกะปิ,Bang Kapi,,,,ห้วยขวาง,Huai Khwang
ทุ่งพญาไท,Thung Phaya Thai,2.559,,,ราชเทวี,Ratchathewi
บางรัก,Bang Rak,0.689,"2,413",,บางรัก,Bang Rak
บางแค,Bang Khae,6.486,,,บางแค,Bang Khae
จตุจักร,Chatuchak,7.878,"21,259",,จตุจักร,Chatuchak
สามวาตะวันตก,Sam Wa Tawan Tok,24.249,"62,864",,คลองสามวา,Khlong Sam Wa
คลองสาน,Khlong San,0.727,,,คลองสาน,Khlong San
จันทรเกษม,Chan Kasem,6.026,"37,787",,จตุจักร,Chatuchak
บางแคเหนือ,Bang Khae Nuea,12.06,,,บางแค,Bang Khae
ทรายกองดิน,Sai Kong Din,11.396,"13,401",,คลองสามวา,Khlong Sam Wa
สี่แยกมหานาค,Si Yaek Maha Nak,0.339,"6,720",,ดุสิต,Dusit
บางบำหรุ,Bang Bamru,2.332,,,บางพลัด,Bang Phlat
วังใหม่,Wang Mai,1.403,,,ปทุมวัน,Pathum Wan
รองเมือง,Rong Mueang,1.3,,,ปทุมวัน,Pathum Wan
